"street","state","city","county","country","postal_code","neighborhood","sublocality","housenumber","postal_town","subpremise","latitude","longitude","location_type","postal_code_suffix","street_number","address"
"Brook Ridge Drive","Kansas","Wamego","Pottawatomie County","United States","66547","","","","","","39.24452300000001","-96.312654","ROOFTOP","","17329","17329 Brook Ridge Dr Wamego KS 66547 
"
"Veterans Airpark Lane","Texas","Midland","Midland County","United States","79705","Wallco","","","","","32.0342816","-102.0879859","ROOFTOP","","303","303 Veterans Airpark Lane Midland TX 79705 
"
"Meadow Ln","Michigan","Bad Axe","Huron County","United States","48413","","","","","","43.8003401","-83.0341463","ROOFTOP","9634","150","150 Meadow Lane Bad Axe MI 48413 
"
"Library Lane","Kentucky","Louisville","Jefferson County","United States","40203","Old Louisville","","","","","38.2428614","-85.7581215","RANGE_INTERPOLATED","","859","859 LIBRARY LANE LOUISVILLE KY 40203 
"
"Pasadena Avenue","Michigan","Flint","Genesee County","United States","48504","","","","","","43.0450778","-83.7643557","ROOFTOP","2342","4287","bumubou SW 4287W Pasadena Flut MI 48504 
"
"Library Lane","Kentucky","Louisville","Jefferson County","United States","40203","Old Louisville","","","","","38.2428614","-85.7581215","RANGE_INTERPOLATED","","859","859 LIBRARY LANE LOUISVILLE KY 40203 
"
"","Washington","Seattle","King County","United States","98121","","","","","","47.6152474","-122.3497446","APPROXIMATE","","","Jenkeznicki 2121 th Ave Seattle WA 98121 
"
"Cox Road","Virginia","Glen Allen","Henrico County","United States","23060","","","","","","37.669364","-77.567317","ROOFTOP","6293","4881","4881 COX ROAD GLEN ALLEN VA 23060 
"
"West Bergen Road","New York","Bergen","Genesee County","United States","14416","","","","","","43.0771886","-78.00502399999999","ROOFTOP","9743","6917","6917 West Bergen Rd Bergen NY 14416 
"
"Serenity Lane","Florida","Melbourne","Brevard County","United States","32934","Park Place","","","","","28.1564752","-80.68275539999999","ROOFTOP","7524","3535","3535 Serenity In Melboure FL 32934 
"
"Washington Street","New Jersey","Newark","Essex County","United States","07102","Central Ward","","","","","40.7450346","-74.1702822","ROOFTOP","","1","3146 RICK MURPHY AUDIBLE INC ONE WASHINGTON PARK NEWARK NJ 07102 
"
"Fields Avenue","Ohio","Kettering","Montgomery County","United States","45420","","","","","","39.7053769","-84.1201148","ROOFTOP","3432","2356","2356 Fields Ave Kettering OH 45420 
"
"","Rhode Island","Providence","Providence County","United States","02903","Downtown Providence","","","","","41.827414","-71.41077299999999","ROOFTOP","","","1 CITIZENS PLAZA RC1205 PROVIDENCE RI 02903 
"
"Old Village Way","Florida","Oldsmar","Pinellas County","United States","34677","","","","","","28.0417014","-82.6796439","RANGE_INTERPOLATED","","4423","4423 OLD VILLAGE WAY OLDSMAR FL 34677 
"
"Torrey Santa Fe Road","California","San Diego","San Diego County","United States","92129","Torrey Highlands","","","","","32.9595845","-117.1577589","ROOFTOP","","7535","7535 TORREY SANTA FE ROAD BLD SAN DIEGO CA 92129 
"
"West 73rd Street","Kansas","Prairie Village","Johnson County","United States","66208","Prairie Fields","","","","","38.99770820000001","-94.6339979","ROOFTOP","2928","4133","4133 W 73 St Praine Village is 66208 
"
